"time","yRising","yFalling","yEither"
8.42,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.44,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.46,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.48,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.5,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.52,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.54,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.56,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.58,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.6,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.62,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.64,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.66,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.68,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.7,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.72,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.74,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.76,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.78,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.8,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.82,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.84,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.86,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.88,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
8.9,-8.9792768068672679E-001,9.2002603819994255E-001,-8.9792768068672679E-001
